step,time,abs_l2,rel_l2,kv_l2,le_l2
25,2.4,1.6943147793235924e-01,9.5020010066254670e-03,1.7780451902912102e+01,1.7831136601040100e+01
26,2.5,2.7248794423134837e-01,1.6875618588122313e-02,1.6094277251308267e+01,1.6146841836253369e+01
27,2.6,3.3561238375567598e-01,2.3478480701812372e-02,1.4251699445848560e+01,1.4294467688012244e+01
28,2.7,2.9404433753644776e-01,2.3844070764674319e-02,1.2326935221226577e+01,1.2331968833613887e+01
29,2.8,2.2831440564889968e-01,2.2017245756934950e-02,1.0416385994580118e+01,1.0369798664621149e+01
30,2.9,2.7827733418412037e-01,3.2664394522577078e-02,8.6125246885952524e+00,8.5192864662401675e+00
31,3,3.1385681125335474e-01,4.5642753039539852e-02,6.9827591005316600e+00,6.8763777456952209e+00
32,3.1,3.7303795400481871e-01,6.8036631192158512e-02,5.5554363831563514e+00,5.4828986601531318e+00
33,3.2,3.7715482503495917e-01,8.7542866452328186e-02,4.3301003578400561e+00,4.3082302455830632e+00
34,3.3,3.3564769486223966e-01,1.0132685778239667e-01,3.2841898151970117e+00,3.3125244600306862e+00
35,3.4,3.4506862183472226e-01,1.3973230158050604e-01,2.3971860931232727e+00,2.4694978750916285e+00
36,3.5,3.7367528322404997e-01,2.0768501603093426e-01,1.6793655684151465e+00,1.7992404573298240e+00
37,3.6,4.1584717416913874e-01,3.1497545504329816e-01,1.1602551158517054e+00,1.3202526340091301e+00
38,3.7,3.9218933946842288e-01,3.9053888306659312e-01,8.9313672224326512e-01,1.0042261000719570e+00
39,3.8,3.5884185626180432e-01,3.7838080592161188e-01,9.9478212992593995e-01,9.4836167862104659e-01
40,3.9,3.9915187973235355e-01,2.9199197781354524e-01,1.5541114172986437e+00,1.3669960480463490e+00
41,4,4.5974276157182947e-01,1.9952715399072310e-01,2.5396576998667832e+00,2.3041613754146213e+00
42,4.1,4.5969953911876194e-01,1.2574563293297042e-01,3.8631357612822059e+00,3.6557892977786990e+00
43,4.2,4.1554845639369647e-01,7.8577099907132422e-02,5.4296400485513550e+00,5.2884168146294392e+00
44,4.3,2.9962848127588348e-01,4.2288880342664481e-02,7.1554836297127329e+00,7.0852781830119476e+00
45,4.4,2.8343423802083639e-01,3.1590655846096591e-02,8.9580139798961227e+00,8.9720909689774011e+00
46,4.5,4.6071049953572457e-01,4.2370449964905958e-02,1.0778858629761364e+01,1.0873391713265161e+01
47,4.6,5.3344698587763562e-01,4.1927690025195259e-02,1.2593932469689561e+01,1.2723023509214931e+01
48,4.7,4.2125286381796240e-01,2.9041776012062679e-02,1.4380736004820729e+01,1.4505065518134719e+01
49,4.8,3.0774014177650466e-01,1.8969038854494847e-02,1.6102554116395801e+01,1.6223285962830083e+01
50,4.9,3.1684129059137034e-01,1.7749350285542399e-02,1.7714964633897900e+01,1.7850866960998061e+01
51,5,5.0536905317061243e-01,2.6157286724093318e-02,1.9165166034750538e+01,1.9320392764786266e+01
52,5.1,5.5596228328799224e-01,2.7035098347897624e-02,2.0394474849581503e+01,2.0564463133577853e+01
