cluster_size,tet_per_block,nelements,clock,Throughput
12 , 12 , 24942592 , 2.278308e-01, 1.094786e+08 

16 , 4 , 24942592 , 1.939033e-01, 1.286342e+08 
16 , 4 , 24942592 , 1.926705e-01, 1.294572e+08 
16 , 4 , 24942592 , 1.931865e-01, 1.291114e+08 
16 , 4 , 24942592 , 1.927009e-01, 1.294368e+08 
16 , 4 , 24942592 , 1.928649e-01, 1.293267e+08 
16 , 4 , 24942592 , 1.921916e-01, 1.297799e+08 
16 , 4 , 24942592 , 1.924317e-01, 1.296179e+08 
16 , 4 , 24942592 , 1.925007e-01, 1.295714e+08 
16 , 4 , 24942592 , 1.928023e-01, 1.293687e+08 
16 , 4 , 24942592 , 1.930609e-01, 1.291955e+08 
16 , 6 , 24942592 , 2.096523e-01, 1.189712e+08 
16 , 6 , 24942592 , 2.078253e-01, 1.200171e+08 
16 , 6 , 24942592 , 2.079057e-01, 1.199707e+08 
16 , 6 , 24942592 , 2.083565e-01, 1.197111e+08 
16 , 6 , 24942592 , 2.065837e-01, 1.207384e+08 
16 , 6 , 24942592 , 2.078331e-01, 1.200126e+08 
16 , 6 , 24942592 , 2.066776e-01, 1.206836e+08 
16 , 6 , 24942592 , 2.071488e-01, 1.204091e+08 
16 , 6 , 24942592 , 2.059491e-01, 1.211105e+08 
16 , 6 , 24942592 , 2.087106e-01, 1.195080e+08 
16 , 8 , 24942592 , 2.676941e-01, 9.317572e+07 
16 , 8 , 24942592 , 2.662967e-01, 9.366466e+07 
16 , 8 , 24942592 , 2.662124e-01, 9.369433e+07 
16 , 8 , 24942592 , 2.662623e-01, 9.367677e+07 
16 , 8 , 24942592 , 2.662850e-01, 9.366879e+07 
16 , 8 , 24942592 , 2.663083e-01, 9.366058e+07 
16 , 8 , 24942592 , 2.663094e-01, 9.366022e+07 
16 , 8 , 24942592 , 2.662521e-01, 9.368035e+07 
16 , 8 , 24942592 , 2.662754e-01, 9.367217e+07 
16 , 8 , 24942592 , 2.663577e-01, 9.364321e+07 
16 , 12 , 24942592 , 2.324432e-01, 1.073062e+08 
16 , 12 , 24942592 , 2.311342e-01, 1.079139e+08 
16 , 12 , 24942592 , 2.305669e-01, 1.081794e+08 
16 , 12 , 24942592 , 2.308837e-01, 1.080310e+08 
16 , 12 , 24942592 , 2.309505e-01, 1.079997e+08 
16 , 12 , 24942592 , 2.310228e-01, 1.079660e+08 
16 , 12 , 24942592 , 2.312533e-01, 1.078583e+08 
16 , 12 , 24942592 , 2.312364e-01, 1.078662e+08 
16 , 12 , 24942592 , 2.308100e-01, 1.080655e+08 
16 , 12 , 24942592 , 2.310141e-01, 1.079700e+08 

24 , 4 , 24942592 , 1.993134e-01, 1.251426e+08 
24 , 4 , 24942592 , 1.977543e-01, 1.261292e+08 
24 , 4 , 24942592 , 1.969505e-01, 1.266440e+08 
24 , 4 , 24942592 , 1.977466e-01, 1.261341e+08 
24 , 4 , 24942592 , 1.981793e-01, 1.258587e+08 
24 , 4 , 24942592 , 1.968158e-01, 1.267307e+08 
24 , 4 , 24942592 , 1.974724e-01, 1.263093e+08 
24 , 4 , 24942592 , 1.975189e-01, 1.262795e+08 
24 , 4 , 24942592 , 1.984122e-01, 1.257110e+08 
24 , 4 , 24942592 , 1.973378e-01, 1.263954e+08 
24 , 6 , 24942592 , 2.199090e-01, 1.134224e+08 
24 , 6 , 24942592 , 2.185029e-01, 1.141522e+08 
24 , 6 , 24942592 , 2.170104e-01, 1.149373e+08 
24 , 6 , 24942592 , 2.175998e-01, 1.146260e+08 
24 , 6 , 24942592 , 2.164752e-01, 1.152215e+08 
24 , 6 , 24942592 , 2.164359e-01, 1.152424e+08 
24 , 6 , 24942592 , 2.165201e-01, 1.151976e+08 
24 , 6 , 24942592 , 2.176442e-01, 1.146026e+08 
24 , 6 , 24942592 , 2.163718e-01, 1.152765e+08 
24 , 6 , 24942592 , 2.163291e-01, 1.152993e+08 
24 , 8 , 24942592 , 2.758790e-01, 9.041136e+07 
