cluster_size,tet_per_block,nelements,closk,Throughtput
12 , 8 , 24942592 , 1.779258e-01, 1.401853e+08 
12 , 8 , 24942592 , 1.781312e-01, 1.400237e+08 
12 , 8 , 24942592 , 1.776373e-01, 1.404130e+08 
12 , 8 , 24942592 , 1.776880e-01, 1.403730e+08 
12 , 8 , 24942592 , 1.784690e-01, 1.397587e+08 
12 , 8 , 24942592 , 1.786431e-01, 1.396225e+08 
12 , 8 , 24942592 , 1.786577e-01, 1.396111e+08 
12 , 8 , 24942592 , 1.773837e-01, 1.406137e+08 
12 , 12 , 24942592 , 2.164355e-01, 1.152426e+08 
12 , 12 , 24942592 , 2.147444e-01, 1.161501e+08 
12 , 12 , 24942592 , 2.152864e-01, 1.158577e+08 
12 , 12 , 24942592 , 2.148932e-01, 1.160697e+08 
12 , 12 , 24942592 , 2.152605e-01, 1.158716e+08 
12 , 12 , 24942592 , 2.149694e-01, 1.160285e+08 
12 , 12 , 24942592 , 2.149779e-01, 1.160240e+08 
12 , 12 , 24942592 , 2.151167e-01, 1.159491e+08 
12 , 12 , 24942592 , 2.148579e-01, 1.160888e+08 
12 , 12 , 24942592 , 2.150299e-01, 1.159959e+08 
12 , 16 , 24942592 , 2.007283e-01, 1.242605e+08 
12 , 16 , 24942592 , 1.993746e-01, 1.251042e+08 
12 , 16 , 24942592 , 1.991570e-01, 1.252409e+08 
12 , 16 , 24942592 , 1.993197e-01, 1.251386e+08 
12 , 16 , 24942592 , 1.994050e-01, 1.250851e+08 
12 , 16 , 24942592 , 1.997043e-01, 1.248976e+08 
12 , 16 , 24942592 , 1.993850e-01, 1.250976e+08 
12 , 16 , 24942592 , 1.994136e-01, 1.250797e+08 
12 , 16 , 24942592 , 1.995057e-01, 1.250220e+08 
12 , 16 , 24942592 , 1.991087e-01, 1.252712e+08 


16 , 4 , 24942592 , 1.636511e-01, 1.524132e+08 
16 , 4 , 24942592 , 1.608530e-01, 1.550645e+08 
16 , 4 , 24942592 , 1.624732e-01, 1.535182e+08 
16 , 4 , 24942592 , 1.613422e-01, 1.545943e+08 
16 , 4 , 24942592 , 1.619065e-01, 1.540556e+08 
16 , 4 , 24942592 , 1.627763e-01, 1.532323e+08 
16 , 4 , 24942592 , 1.636819e-01, 1.523845e+08 
16 , 4 , 24942592 , 1.613558e-01, 1.545813e+08 
16 , 4 , 24942592 , 1.628096e-01, 1.532010e+08 
16 , 4 , 24942592 , 1.627301e-01, 1.532758e+08 
16 , 6 , 24942592 , 1.718478e-01, 1.451435e+08 
16 , 6 , 24942592 , 1.690124e-01, 1.475785e+08 
16 , 6 , 24942592 , 1.700985e-01, 1.466362e+08 
16 , 6 , 24942592 , 1.707920e-01, 1.460407e+08 
16 , 6 , 24942592 , 1.698565e-01, 1.468451e+08 
16 , 6 , 24942592 , 1.705400e-01, 1.462566e+08 
16 , 6 , 24942592 , 1.696166e-01, 1.470527e+08 
16 , 6 , 24942592 , 1.713177e-01, 1.455926e+08 
16 , 6 , 24942592 , 1.702643e-01, 1.464934e+08 
16 , 6 , 24942592 , 1.698457e-01, 1.468545e+08 
16 , 8 , 24942592 , 1.864527e-01, 1.337743e+08 
16 , 8 , 24942592 , 1.827737e-01, 1.364671e+08 
16 , 8 , 24942592 , 1.826093e-01, 1.365899e+08 
16 , 8 , 24942592 , 1.834184e-01, 1.359874e+08 
16 , 8 , 24942592 , 1.823113e-01, 1.368132e+08 
16 , 8 , 24942592 , 1.834772e-01, 1.359439e+08 
16 , 8 , 24942592 , 1.825546e-01, 1.366308e+08 
16 , 8 , 24942592 , 1.825597e-01, 1.366270e+08 
16 , 8 , 24942592 , 1.824854e-01, 1.366827e+08 
16 , 8 , 24942592 , 1.822333e-01, 1.368717e+08 
16 , 12 , 24942592 , 2.198662e-01, 1.134444e+08 
16 , 12 , 24942592 , 2.177121e-01, 1.145668e+08 
16 , 12 , 24942592 , 2.183461e-01, 1.142342e+08 
16 , 12 , 24942592 , 2.179028e-01, 1.144666e+08 
16 , 12 , 24942592 , 2.180496e-01, 1.143895e+08 
16 , 12 , 24942592 , 2.181494e-01, 1.143372e+08 
16 , 12 , 24942592 , 2.179746e-01, 1.144289e+08 
16 , 12 , 24942592 , 2.179160e-01, 1.144597e+08 
16 , 12 , 24942592 , 2.186156e-01, 1.140934e+08 
16 , 12 , 24942592 , 2.177092e-01, 1.145684e+08 
16 , 16 , 24942592 , 2.038550e-01, 1.223546e+08 
16 , 16 , 24942592 , 2.090486e-01, 1.193148e+08 
16 , 16 , 24942592 , 2.025391e-01, 1.231495e+08 
16 , 16 , 24942592 , 2.095848e-01, 1.190095e+08 
16 , 16 , 24942592 , 2.073631e-01, 1.202846e+08 
16 , 16 , 24942592 , 2.075149e-01, 1.201966e+08 
16 , 16 , 24942592 , 2.075981e-01, 1.201484e+08 
16 , 16 , 24942592 , 2.075633e-01, 1.201686e+08 
16 , 16 , 24942592 , 2.073829e-01, 1.202731e+08 
16 , 16 , 24942592 , 2.075677e-01, 1.201660e+08 


24 , 4 , 24942592 , 1.690174e-01, 1.475741e+08 
24 , 4 , 24942592 , 1.682166e-01, 1.482767e+08 
24 , 4 , 24942592 , 1.683980e-01, 1.481169e+08 
24 , 4 , 24942592 , 1.693619e-01, 1.472740e+08 
24 , 4 , 24942592 , 1.702757e-01, 1.464836e+08 
24 , 4 , 24942592 , 1.713880e-01, 1.455329e+08 
24 , 4 , 24942592 , 1.703242e-01, 1.464419e+08 
24 , 4 , 24942592 , 1.670622e-01, 1.493012e+08 
24 , 4 , 24942592 , 1.679149e-01, 1.485431e+08 
24 , 4 , 24942592 , 1.680045e-01, 1.484638e+08 
24 , 6 , 24942592 , 1.809029e-01, 1.378783e+08 
24 , 6 , 24942592 , 1.938921e-01, 1.286416e+08 
24 , 6 , 24942592 , 1.828515e-01, 1.364090e+08 
24 , 6 , 24942592 , 1.838825e-01, 1.356442e+08 
24 , 6 , 24942592 , 1.869172e-01, 1.334419e+08 
24 , 6 , 24942592 , 1.799494e-01, 1.386089e+08 
24 , 6 , 24942592 , 1.883852e-01, 1.324021e+08 
24 , 6 , 24942592 , 1.888356e-01, 1.320863e+08 
24 , 6 , 24942592 , 1.824178e-01, 1.367334e+08 
24 , 6 , 24942592 , 1.889828e-01, 1.319834e+08 
24 , 8 , 24942592 , 1.940097e-01, 1.285637e+08 
24 , 8 , 24942592 , 1.910948e-01, 1.305247e+08 
24 , 8 , 24942592 , 1.998737e-01, 1.247918e+08 
24 , 8 , 24942592 , 1.933138e-01, 1.290264e+08 
24 , 8 , 24942592 , 1.935086e-01, 1.288965e+08 
24 , 8 , 24942592 , 1.941947e-01, 1.284412e+08 
24 , 8 , 24942592 , 1.955578e-01, 1.275459e+08 
24 , 8 , 24942592 , 1.906196e-01, 1.308501e+08 
24 , 8 , 24942592 , 1.918919e-01, 1.299825e+08 
24 , 8 , 24942592 , 1.919897e-01, 1.299163e+08 
24 , 12 , 24942592 , 2.279537e-01, 1.094196e+08 
24 , 12 , 24942592 , 2.301546e-01, 1.083732e+08 
24 , 12 , 24942592 , 2.335505e-01, 1.067974e+08 
24 , 12 , 24942592 , 2.257909e-01, 1.104677e+08 
24 , 12 , 24942592 , 2.375414e-01, 1.050031e+08 
24 , 12 , 24942592 , 2.260620e-01, 1.103352e+08 
24 , 12 , 24942592 , 2.263084e-01, 1.102151e+08 
24 , 12 , 24942592 , 2.339118e-01, 1.066324e+08 
24 , 12 , 24942592 , 2.255735e-01, 1.105741e+08 
24 , 12 , 24942592 , 2.366112e-01, 1.054159e+08 
24 , 16 , 24942592 , 2.136482e-01, 1.167461e+08 
24 , 16 , 24942592 , 2.130928e-01, 1.170504e+08 
24 , 16 , 24942592 , 2.114993e-01, 1.179323e+08 
24 , 16 , 24942592 , 2.125457e-01, 1.173517e+08 
24 , 16 , 24942592 , 2.162895e-01, 1.153204e+08 
24 , 16 , 24942592 , 2.172182e-01, 1.148273e+08 
24 , 16 , 24942592 , 2.155779e-01, 1.157010e+08 
24 , 16 , 24942592 , 2.156447e-01, 1.156652e+08 
24 , 16 , 24942592 , 2.154631e-01, 1.157627e+08 
24 , 16 , 24942592 , 2.156843e-01, 1.156440e+08 


32 , 4 , 24942592 , 1.909759e-01, 1.306060e+08 
32 , 4 , 24942592 , 1.778026e-01, 1.402825e+08 
32 , 4 , 24942592 , 1.763958e-01, 1.414013e+08 
32 , 4 , 24942592 , 1.816751e-01, 1.372923e+08 
32 , 4 , 24942592 , 1.895458e-01, 1.315914e+08 
32 , 4 , 24942592 , 1.849742e-01, 1.348436e+08 
32 , 4 , 24942592 , 1.776609e-01, 1.403944e+08 
32 , 4 , 24942592 , 1.775521e-01, 1.404804e+08 
32 , 4 , 24942592 , 1.811160e-01, 1.377161e+08 
32 , 4 , 24942592 , 1.831326e-01, 1.361996e+08 
32 , 6 , 24942592 , 1.898576e-01, 1.313752e+08 
32 , 6 , 24942592 , 1.886746e-01, 1.321990e+08 
32 , 6 , 24942592 , 1.869756e-01, 1.334003e+08 
32 , 6 , 24942592 , 1.864779e-01, 1.337563e+08 
